grainID,varietyNumber,microplotID,year,month,day,timestamp,filename
23632,7,x72y15,2021,10,23,144229,grain23632_var7-x72y15_7000_us_2x_2021-10-23T144229_corr.npz
7795,6,x40y20,2020,12,02,134036,grain7795_x40y20-var6_8000_us_2x_2020-12-02T134036_corr.npz
7511,5,x39y20,2020,12,02,131556,grain7511_x39y20-var5_8000_us_2x_2020-12-02T131556_corr.npz
16801,2,x76y12,2021,10,19,160332,grain16801_var2-x76y12_7000_us_2x_2021-10-19T160332_corr.npz
7613,5,x39y20,2020,12,02,132032,grain7613_x39y20-var5_8000_us_2x_2020-12-02T132032_corr.npz
26218,8,x75y12,2021,10,20,111614,grain26218_var8-x75y12_7000_us_2x_2021-10-20T111614_corr.npz
13761,1,x73y14,2021,10,23,151510,grain13761_var1-x73y14_7000_us_2x_2021-10-23T151510_corr.npz
1036,5,x28y22,2020,12,02,125210,grain1036_x28y22-var5_11000_us_2x_2020-12-02T125210_corr.npz
2765,2,x31y24,2020,12,01,154301,grain2765_x31y24-var2_11000_us_2x_2020-12-01T154301_corr.npz
5048,1,x33y24,2020,12,02,100925,grain5048_x33y24-var1_11000_us_2x_2020-12-02T100925_corr.npz
8412,6,x40y20,2020,12,02,135308,grain8412_x40y20-var6_8000_us_2x_2020-12-02T135308_corr.npz
11305,3,x44y21,2020,12,02,104158,grain11305_x44y21-var3_11000_us_2x_2020-12-02T104158_corr.npz
14768,1,x75y20,2021,10,19,161043,grain14768_var1-x75y20_7000_us_2x_2021-10-19T161043_corr.npz
1288,5,x28y22,2020,12,02,125824,grain1288_x28y22-var5_11000_us_2x_2020-12-02T125824_corr.npz
16910,2,x76y12,2021,10,19,160517,grain16910_var2-x76y12_7000_us_2x_2021-10-19T160517_corr.npz
8757,6,x41y23,2020,12,02,132655,grain8757_x41y23-var6_8000_us_2x_2020-12-02T132655_corr.npz
18714,3,x81y18,2021,10,23,150502,grain18714_var3-x81y18_7000_us_2x_2021-10-23T150502_corr.npz
18168,3,x81y18,2021,10,23,150015,grain18168_var3-x81y18_7000_us_2x_2021-10-23T150015_corr.npz
13331,7,x45y24,2020,12,02,141746,grain13331_x45y24-var7_8000_us_2x_2020-12-02T141746_corr.npz
8293,6,x40y20,2020,12,02,135030,grain8293_x40y20-var6_8000_us_2x_2020-12-02T135030_corr.npz
12161,4,x45y19,2020,12,02,111414,grain12161_x45y19-var4_11000_us_2x_2020-12-02T111414_corr.npz
23992,7,x72y15,2021,10,23,144708,grain23992_var7-x72y15_7000_us_2x_2021-10-23T144708_corr.npz
20103,4,x82y12,2021,10,19,113637,grain20103_var4-x82y12_7000_us_2x_2021-10-19T113637_corr.npz
11734,3,x44y21,2020,12,02,104851,grain11734_x44y21-var3_11000_us_2x_2020-12-02T104851_corr.npz
18014,3,x81y18,2021,10,23,150015,grain18014_var3-x81y18_7000_us_2x_2021-10-23T150015_corr.npz
18480,3,x81y18,2021,10,23,150329,grain18480_var3-x81y18_7000_us_2x_2021-10-23T150329_corr.npz
18668,3,x81y18,2021,10,23,150502,grain18668_var3-x81y18_7000_us_2x_2021-10-23T150502_corr.npz
20284,4,x82y12,2021,10,19,113802,grain20284_var4-x82y12_7000_us_2x_2021-10-19T113802_corr.npz
2053,1,x30y21,2020,12,02,101757,grain2053_x30y21-var1_11000_us_2x_2020-12-02T101757_corr.npz
473,7,x28y21,2020,12,02,140411,grain473_x28y21-var7_8000_us_2x_2020-12-02T140411_corr.npz
15624,2,x73y16,2021,10,19,155300,grain15624_var2-x73y16_7000_us_2x_2021-10-19T155300_corr.npz
16141,2,x73y16,2021,10,19,155646,grain16141_var2-x73y16_7000_us_2x_2021-10-19T155646_corr.npz
11638,3,x44y21,2020,12,02,104851,grain11638_x44y21-var3_11000_us_2x_2020-12-02T104851_corr.npz
3452,2,x31y24,2020,12,01,155134,grain3452_x31y24-var2_11000_us_2x_2020-12-01T155134_corr.npz
1384,5,x28y22,2020,12,02,125824,grain1384_x28y22-var5_11000_us_2x_2020-12-02T125824_corr.npz
6446,2,x35y19,2020,12,01,152752,grain6446_x35y19-var2_11000_us_2x_2020-12-01T152752_corr.npz
25226,8,x74y17,2021,10,23,150719,grain25226_var8-x74y17_7000_us_2x_2021-10-23T150719_corr.npz
15758,2,x73y16,2021,10,19,155300,grain15758_var2-x73y16_7000_us_2x_2021-10-19T155300_corr.npz
24404,7,x82y19,2021,10,19,153944,grain24404_var7-x82y19_7000_us_2x_2021-10-19T153944_corr.npz
12894,7,x45y24,2020,12,02,141021,grain12894_x45y24-var7_8000_us_2x_2020-12-02T141021_corr.npz
11209,3,x44y21,2020,12,02,104158,grain11209_x44y21-var3_11000_us_2x_2020-12-02T104158_corr.npz
13824,1,x73y14,2021,10,23,151510,grain13824_var1-x73y14_7000_us_2x_2021-10-23T151510_corr.npz
17136,2,x76y12,2021,10,19,160517,grain17136_var2-x76y12_7000_us_2x_2021-10-19T160517_corr.npz
19949,4,x82y12,2021,10,19,113446,grain19949_var4-x82y12_7000_us_2x_2021-10-19T113446_corr.npz
18933,4,x80y16,2021,10,19,152106,grain18933_var4-x80y16_7000_us_2x_2021-10-19T152106_corr.npz
1862,1,x30y21,2020,12,02,101341,grain1862_x30y21-var1_11000_us_2x_2020-12-02T101341_corr.npz
17803,3,x77y15,2021,10,23,145648,grain17803_var3-x77y15_7000_us_2x_2021-10-23T145648_corr.npz
5144,1,x33y24,2020,12,02,100925,grain5144_x33y24-var1_11000_us_2x_2020-12-02T100925_corr.npz
11068,3,x43y22,2020,12,02,103820,grain11068_x43y22-var3_11000_us_2x_2020-12-02T103820_corr.npz
20680,5,x72y18,2021,10,20,110522,grain20680_var5-x72y18_7000_us_2x_2021-10-20T110522_corr.npz
2953,2,x31y24,2020,12,01,154301,grain2953_x31y24-var2_11000_us_2x_2020-12-01T154301_corr.npz
7300,5,x39y20,2020,12,02,130424,grain7300_x39y20-var5_11000_us_2x_2020-12-02T130424_corr.npz
4441,1,x33y24,2020,12,02,095946,grain4441_x33y24-var1_11000_us_2x_2020-12-02T095946_corr.npz
1758,1,x30y21,2020,12,02,101341,grain1758_x30y21-var1_11000_us_2x_2020-12-02T101341_corr.npz
16744,2,x76y12,2021,10,19,160332,grain16744_var2-x76y12_7000_us_2x_2021-10-19T160332_corr.npz
